"Station","Year","Month","Day","Night","DayLimit","NightLimit","Date","Name","City","State","Type","Day_Exceed","Night_Exceed","Day_Status","Night_Status"
"BEN01",2011,2,66,56,55,45,2011-02-01,"BTM","Bengaluru","Karnataka","Residential",11,11,"Exceeded","Exceeded"
"BEN01",2011,3,66,58,55,45,2011-03-01,"BTM","Bengaluru","Karnataka","Residential",11,13,"Exceeded","Exceeded"
"BEN01",2011,4,66,57,55,45,2011-04-01,"BTM","Bengaluru","Karnataka","Residential",11,12,"Exceeded","Exceeded"
"BEN01",2011,5,66,56,55,45,2011-05-01,"BTM","Bengaluru","Karnataka","Residential",11,11,"Exceeded","Exceeded"
"BEN01",2011,6,67,57,55,45,2011-06-01,"BTM","Bengaluru","Karnataka","Residential",12,12,"Exceeded","Exceeded"
"BEN01",2011,7,67,57,55,45,2011-07-01,"BTM","Bengaluru","Karnataka","Residential",12,12,"Exceeded","Exceeded"
"BEN01",2011,8,67,59,55,45,2011-08-01,"BTM","Bengaluru","Karnataka","Residential",12,14,"Exceeded","Exceeded"
"BEN01",2011,9,66,56,55,45,2011-09-01,"BTM","Bengaluru","Karnataka","Residential",11,11,"Exceeded","Exceeded"
"BEN01",2011,10,66,56,55,45,2011-10-01,"BTM","Bengaluru","Karnataka","Residential",11,11,"Exceeded","Exceeded"
"BEN01",2011,11,66,56,55,45,2011-11-01,"BTM","Bengaluru","Karnataka","Residential",11,11,"Exceeded","Exceeded"
"BEN01",2011,12,67,58,55,45,2011-12-01,"BTM","Bengaluru","Karnataka","Residential",12,13,"Exceeded","Exceeded"
"BEN02",2011,2,56,52,65,55,2011-02-01,"Marathahalli","Bengaluru","Karnataka","Commercial",-9,-3,"Within Limit","Within Limit"
"BEN02",2011,3,57,52,65,55,2011-03-01,"Marathahalli","Bengaluru","Karnataka","Commercial",-8,-3,"Within Limit","Within Limit"
"BEN02",2011,4,56,52,65,55,2011-04-01,"Marathahalli","Bengaluru","Karnataka","Commercial",-9,-3,"Within Limit","Within Limit"
"BEN02",2011,5,57,53,65,55,2011-05-01,"Marathahalli","Bengaluru","Karnataka","Commercial",-8,-2,"Within Limit","Within Limit"
"BEN02",2011,6,59,54,65,55,2011-06-01,"Marathahalli","Bengaluru","Karnataka","Commercial",-6,-1,"Within Limit","Within Limit"
"BEN02",2011,7,60,56,65,55,2011-07-01,"Marathahalli","Bengaluru","Karnataka","Commercial",-5,1,"Within Limit","Exceeded"
"BEN02",2011,8,58,58,65,55,2011-08-01,"Marathahalli","Bengaluru","Karnataka","Commercial",-7,3,"Within Limit","Exceeded"
"BEN02",2011,9,55,54,65,55,2011-09-01,"Marathahalli","Bengaluru","Karnataka","Commercial",-10,-1,"Within Limit","Within Limit"
"BEN02",2011,10,54,53,65,55,2011-10-01,"Marathahalli","Bengaluru","Karnataka","Commercial",-11,-2,"Within Limit","Within Limit"
"BEN02",2011,11,55,53,65,55,2011-11-01,"Marathahalli","Bengaluru","Karnataka","Commercial",-10,-2,"Within Limit","Within Limit"
"BEN02",2011,12,55,53,65,55,2011-12-01,"Marathahalli","Bengaluru","Karnataka","Commercial",-10,-2,"Within Limit","Within Limit"
"BEN03",2011,2,64,51,55,45,2011-02-01,"Nisarga Bhawan","Bengaluru","Karnataka","Residential",9,6,"Exceeded","Exceeded"
"BEN03",2011,3,53,46,55,45,2011-03-01,"Nisarga Bhawan","Bengaluru","Karnataka","Residential",-2,1,"Within Limit","Exceeded"
"BEN03",2011,4,54,47,55,45,2011-04-01,"Nisarga Bhawan","Bengaluru","Karnataka","Residential",-1,2,"Within Limit","Exceeded"
"BEN03",2011,5,56,48,55,45,2011-05-01,"Nisarga Bhawan","Bengaluru","Karnataka","Residential",1,3,"Exceeded","Exceeded"
"BEN03",2011,6,60,51,55,45,2011-06-01,"Nisarga Bhawan","Bengaluru","Karnataka","Residential",5,6,"Exceeded","Exceeded"
"BEN03",2011,7,59,48,55,45,2011-07-01,"Nisarga Bhawan","Bengaluru","Karnataka","Residential",4,3,"Exceeded","Exceeded"
"BEN03",2011,8,58,48,55,45,2011-08-01,"Nisarga Bhawan","Bengaluru","Karnataka","Residential",3,3,"Exceeded","Exceeded"
"BEN03",2011,9,57,48,55,45,2011-09-01,"Nisarga Bhawan","Bengaluru","Karnataka","Residential",2,3,"Exceeded","Exceeded"
"BEN03",2011,10,55,47,55,45,2011-10-01,"Nisarga Bhawan","Bengaluru","Karnataka","Residential",0,2,"Within Limit","Exceeded"
"BEN03",2011,11,55,47,55,45,2011-11-01,"Nisarga Bhawan","Bengaluru","Karnataka","Residential",0,2,"Within Limit","Exceeded"
"BEN03",2011,12,55,46,55,45,2011-12-01,"Nisarga Bhawan","Bengaluru","Karnataka","Residential",0,1,"Within Limit","Exceeded"
"BEN04",2011,2,65,58,65,55,2011-02-01,"Parisar Bhawan","Bengaluru","Karnataka","Commercial",0,3,"Within Limit","Exceeded"
"BEN04",2011,3,65,58,65,55,2011-03-01,"Parisar Bhawan","Bengaluru","Karnataka","Commercial",0,3,"Within Limit","Exceeded"
"BEN04",2011,4,65,58,65,55,2011-04-01,"Parisar Bhawan","Bengaluru","Karnataka","Commercial",0,3,"Within Limit","Exceeded"
"BEN04",2011,5,65,58,65,55,2011-05-01,"Parisar Bhawan","Bengaluru","Karnataka","Commercial",0,3,"Within Limit","Exceeded"
"BEN04",2011,6,68,57,65,55,2011-06-01,"Parisar Bhawan","Bengaluru","Karnataka","Commercial",3,2,"Exceeded","Exceeded"
"BEN04",2011,7,68,57,65,55,2011-07-01,"Parisar Bhawan","Bengaluru","Karnataka","Commercial",3,2,"Exceeded","Exceeded"
"BEN04",2011,8,66,58,65,55,2011-08-01,"Parisar Bhawan","Bengaluru","Karnataka","Commercial",1,3,"Exceeded","Exceeded"
"BEN04",2011,9,66,57,65,55,2011-09-01,"Parisar Bhawan","Bengaluru","Karnataka","Commercial",1,2,"Exceeded","Exceeded"
"BEN04",2011,10,67,59,65,55,2011-10-01,"Parisar Bhawan","Bengaluru","Karnataka","Commercial",2,4,"Exceeded","Exceeded"
"BEN04",2011,11,68,59,65,55,2011-11-01,"Parisar Bhawan","Bengaluru","Karnataka","Commercial",3,4,"Exceeded","Exceeded"
"BEN04",2011,12,67,59,65,55,2011-12-01,"Parisar Bhawan","Bengaluru","Karnataka","Commercial",2,4,"Exceeded","Exceeded"
"BEN05",2011,2,58,59,75,70,2011-02-01,"Peeniya","Bengaluru","Karnataka","Industrial",-17,-11,"Within Limit","Within Limit"
"BEN05",2011,3,56,55,75,70,2011-03-01,"Peeniya","Bengaluru","Karnataka","Industrial",-19,-15,"Within Limit","Within Limit"
"BEN05",2011,4,54,51,75,70,2011-04-01,"Peeniya","Bengaluru","Karnataka","Industrial",-21,-19,"Within Limit","Within Limit"
"BEN05",2011,5,55,52,75,70,2011-05-01,"Peeniya","Bengaluru","Karnataka","Industrial",-20,-18,"Within Limit","Within Limit"
"BEN05",2011,6,54,51,75,70,2011-06-01,"Peeniya","Bengaluru","Karnataka","Industrial",-21,-19,"Within Limit","Within Limit"
"BEN05",2011,7,57,53,75,70,2011-07-01,"Peeniya","Bengaluru","Karnataka","Industrial",-18,-17,"Within Limit","Within Limit"
"BEN05",2011,8,59,55,75,70,2011-08-01,"Peeniya","Bengaluru","Karnataka","Industrial",-16,-15,"Within Limit","Within Limit"
"BEN05",2011,9,57,56,75,70,2011-09-01,"Peeniya","Bengaluru","Karnataka","Industrial",-18,-14,"Within Limit","Within Limit"
"BEN05",2011,10,56,56,75,70,2011-10-01,"Peeniya","Bengaluru","Karnataka","Industrial",-19,-14,"Within Limit","Within Limit"
